retrievers,hit_rate,mrr,cost_time
ensemble_rerank_top_1_eval,0.822429906542056,0.822429906542056,186384.9811553955
ensemble_rerank_top_2_eval,0.8847352024922118,0.8364485981308412,183668.58983039856
ensemble_rerank_top_3_eval,0.9376947040498442,0.8572170301142265,210832.08799362183
ensemble_rerank_top_4_eval,0.9501557632398754,0.8564382139148493,261264.73879814148
ensemble_rerank_top_5_eval,0.9626168224299065,0.8536863966770508,214223.29092025757
